pl_name,pl_orbper,pl_rade,st_teff,pl_orbsmax,pl_insol,pl_eqt,log_orbper,log_insol,radius_earth_ratio,hz_proximity,habitable
HATS-36 b,4.1752387,13.843115,6149.0,0.05425,561.0,1356.0,1.6438854636915445,6.331501849893691,13.843115,0.0,0
HATS-37 A b,4.3315366,6.792654,5326.0,0.04913,229.7,1085.0,1.6736394893123296,5.441118165179708,6.792654,0.0,0
HATS-38 b,4.375021,6.882326,5732.0,0.05036,464.7,1294.0,1.6817624809828384,6.1435416499883315,6.882326,0.0,0
HATS-47 b,3.9228038,12.520453,4512.0,0.04269,87.73,852.9,1.593878246234167,4.485598050847247,12.520453,0.0,0
HATS-48 A b,3.1316666,8.9672,4546.0,0.03769,137.6,954.6,1.4186808606835055,4.931592086755803,8.9672,0.0,0
HATS-49 b,4.1480467,8.574885,4405.0,0.04515,80.45,834.8,1.638617361176806,4.399989335048054,8.574885,0.0,0
HATS-59 b,5.416081,12.621334,5670.0,0.06112,269.0,1128.0,1.858807495172802,5.598421958998375,12.621334,0.0,0
HATS-60 b,3.560829,12.923977,5688.0,0.04708,903.9,1528.0,1.5175044052486102,6.807824440357088,12.923977,0.0,0
HATS-61 b,7.817953,13.394755,5542.0,0.07908,374.2,1226.1,2.176789756914737,5.9274592171320695,13.394755,0.0,0
HATS-62 b,3.2768837,11.825495,5416.0,0.04163,387.4,1237.0,1.4532246369180843,5.96203573641717,11.825495,0.0,0
HATS-63 b,3.0566527,13.529263,5627.0,0.04026,634.1,1398.3,1.400358175433041,6.45378246680893,13.529263,0.0,0
HATS-64 b,4.908897,18.819911,6554.0,0.06562,1711.0,1793.0,1.7764591811742145,7.445417556701687,18.819911,0.0,0
HATS-65 b,3.105161,16.824709,6277.0,0.04497,1178.0,1634.0,1.4122449625981395,7.072421900537371,16.824709,0.0,0
HATS-66 b,3.1414391,15.815899,6626.0,0.04714,2637.0,1998.0,1.4210433361309696,7.87777633327726,15.815899,0.0,0
HATS-67 b,1.6091788,18.887165,6594.0,0.03032,3821.0,2193.0,0.9590355358109803,8.248529124800218,18.887165,0.0,0
HATS-68 b,3.5862202,13.809488,6147.0,0.05071,1521.0,1741.0,1.5230561989829523,7.3277805384216315,13.809488,0.0,0
HATS-69 b,2.2252577,10.592505,5137.0,0.03211,466.6,1295.7,1.1710128540320874,6.147613229597914,10.592505,0.0,0
HATS-70 b,1.8882378,15.513256,7930.0,0.03632,9110.0,2730.0,1.0606465583609903,9.117237753713859,15.513256,0.0,0
HATS-72 b,7.3279474,8.0973816,4656.1,0.066517,49.58,739.3,2.1196170152504545,3.923556241241819,8.0973816,0.0,0
HATS-74 A b,1.73185606,11.56766808,3776.9,0.02384,106.9,895.1,1.0049812536441245,4.681204872264089,11.56766808,0.0,0
HATS-75 b,2.7886556,9.90873894,3790.4,0.032742,59.26,772.3,1.3320112332101204,4.098668533702155,9.90873894,0.0,0
HATS-76 b,1.9416423,12.09449018,4016.0,0.02658,129.8,939.8,1.0789680308308252,4.873669439023098,12.09449018,0.0,0
HATS-77 b,3.0876262,13.05846252,4071.0,0.03607,78.37,828.3,1.4079644103644975,4.374120463102784,13.05846252,0.0,0
HD 101581 b,4.46569,0.956,4675.0,0.046,80.0,834.0,1.6984903716641202,4.394449154672439,0.956,0.0,0
HD 101581 c,6.20401,0.99,4675.0,0.0573,52.0,747.0,1.9746378154304587,3.970291913552122,0.99,0.0,0
HD 110113 b,2.541,2.05,5732.0,0.035,735.49,1371.0,1.2644091731297666,6.601895658077988,2.05,0.0,0
HD 118203 b,6.134985,12.73340208,5683.0,0.07071,755.3,1494.0,1.965010148614046,6.628438122861984,12.73340208,0.0,0
HD 118203 b,6.1349847,12.06086323,5872.0,0.08635,593.4,1360.0,1.965010106567706,6.3875524934035495,12.06086323,0.0,0
HD 135694 b,15.92346,2.51,5710.0,0.12,73.7,815.0,2.8287008249982626,4.3134800921387715,2.51,0.0,0
HD 136352 b,11.57779,1.482,5850.0,0.0969,114.0,911.0,2.5319325601638396,4.74493212836325,1.482,0.0,0
HD 136352 b,11.57797,1.664,5664.0,0.0964,111.6,905.0,2.5319468710015967,4.72384171570559,1.664,0.0,0
HD 136352 c,27.5909,2.608,5850.0,0.1729,36.0,682.0,3.35308848537705,3.6109179126442243,2.608,0.0,0
HD 136352 c,27.59221,2.916,5664.0,0.1721,35.1,677.0,3.3531343031019074,3.586292865338835,2.916,0.0,0
HD 136352 d,107.245,2.562,5664.0,0.425,5.74,431.0,4.6843971764393935,1.9080599249242156,2.562,0.0,0
HD 1397 b,11.53533,11.500434,5521.0,0.1097,356.0,1228.3,2.528551057550124,5.877735781779639,11.500434,0.0,0
HD 15906 b,10.924709,2.24,4757.0,0.09,33.14,668.0,2.4786126339609353,3.5304697173662944,2.24,0.0,0
HD 15906 c,21.583298,2.93,4757.0,0.141,13.37,532.0,3.117210606514831,2.6651427000909336,2.93,0.0,0
HD 17156 b,21.2164294,12.26262489,6046.0,0.1632,68.8,888.0,3.1008320782296623,4.2456340097683265,12.26262489,0.0,0
HD 183579 b,17.471278,3.55,5788.0,0.1334,58.1,769.0,2.916216985103814,4.079230924412053,3.55,0.0,0
HD 18599 b,4.137437,2.7,5083.0,0.05,145.0,863.0,1.636554316973442,4.983606621708336,2.7,0.0,0
HD 189733 b,2.218577,12.542871,5050.0,0.03106,356.0,1209.0,1.168939336412641,5.877735781779639,12.542871,0.0,0
HD 191939 b,8.8803256,3.41,5348.0,0.0804,100.0,880.0,2.290545466682344,4.61512051684126,3.41,0.0,0
HD 191939 c,28.579743,3.195,5348.0,0.1752,21.0,600.0,3.387089768942003,3.091042453358316,3.195,0.0,0
HD 191939 d,38.353037,2.995,5348.0,0.2132,14.3,540.0,3.672573151046626,2.72785282839839,2.995,0.0,0
HD 202772 A b,3.308958,17.317905,6272.0,0.05208,3440.0,2132.0,1.4606961115451214,8.14351740579748,17.317905,0.0,0
HD 202772 A b,3.3088775,18.2370116,6442.0,0.05208,3770.0,2181.0,1.4606774293597855,8.235095497258357,18.2370116,0.0,0
HD 20329 b,0.926118,1.72,5596.0,0.018,3474.0,2141.0,0.6555065783735465,8.153349757998892,1.72,0.0,0
HD 207496 b,6.441008,2.25,4819.0,0.0629,72.9,743.0,2.0070063235388576,4.302712827954156,2.25,0.0,0
HD 207897 b,16.202159,2.501,5070.0,0.1163,26.5,632.2,2.8450348991978367,3.3141860046725258,2.501,0.0,0
HD 219134 b,3.092926,1.602,4699.0,0.03876,176.2,1015.0,1.4092601176986472,5.177279038170981,1.602,0.0,0
HD 219134 c,6.76458,1.511,4699.0,0.0653,62.1,782.0,2.0495723662775247,4.144720769547168,1.511,0.0,0
HD 219134 d,46.859,1.61,4699.0,0.237,4.72,410.5,3.86825918798697,1.7439688053917064,1.61,0.0,0
HD 219134 f,22.717,1.31,4699.0,0.1463,12.38,522.6,3.1661920905827574,2.5937610547000824,1.31,0.0,0
HD 22946 d,47.42489,2.607,6169.0,0.2958,18.561,546.0,3.88001393773653,2.973537788044222,2.607,0.0,0
HD 23472 b,17.667087,2.0,4684.0,0.1162,16.0,543.0,2.926761919670659,2.833213344056216,2.0,0.0,0
HD 23472 c,29.79749,1.87,4684.0,0.1646,7.96,467.0,3.4274331931522592,2.192770226986839,1.87,0.0,0
HD 23472 d,3.97664,0.75,4684.0,0.04298,117.0,909.0,1.6047549645297186,4.770684624465665,0.75,0.0,0
HD 23472 e,7.90754,0.818,4684.0,0.068,46.7,723.0,2.186898109085582,3.8649313978942956,0.818,0.0,0
